Directory,Filename,BarcodeLocation,BarcodeCity,BarcodeState,ProcessRekognition,Colour,Rating,Orientation,Tags
\HJMILPQRECFp,HJMILPQRECFp 001.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 002.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 003.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 004.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 005.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 006.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 007.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 008.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 009.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 010.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 011.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 012.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 013.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 014.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 015.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 016.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 017.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 018.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 019.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 020.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 021.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 022.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 023.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 024.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 025.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 026.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 027.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 028.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 029.JPG,,,,FALSE,,,Landscape,
\HJMILPQRECFp,HJMILPQRECFp 030.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 031.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 032.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 033.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 034.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 035.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 036.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 037.JPG,,,,TRUE,Blue,,Portrait,
\HJMILPQRECFp,HJMILPQRECFp 038.JPG,,,,TRUE,Blue,,Portrait,
